Preprocessing,Logistic Regression,Random Forest,Gradient Boosting,SVM
MIS,0.3782319391634981,0.9318124207858048,0.9311787072243346,0.2895437262357414
RFE,0.3782319391634981,0.9319708491761723,0.9315272496831433,0.2895437262357414
PCA,0.3178707224334601,0.8728136882129277,0.8327629911280101,0.29312420785804816
